"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.092","0.094","0.056","0.082","0.106","0.117","986"
"2","$K$","28,113","27,741","25,408","26,696","28,997","33,045","986"
"3","$z$","2.39","2.39","2.39","2.39","2.39","2.39","  1"
"4","$\sigma^2$","0","0","0","0","0","0","  1"
"5","$N_{min}$","   462","   371","   194","   278","   529"," 1,244","986"
"6","$N_{2006}$","12,985","12,959","11,094","12,279","13,682","15,095","986"
"7","$N_{2008}$","15,009","14,997","13,196","14,386","15,659","16,842","986"
"8","$N_{2012}$","19,257","19,269","17,395","18,652","19,919","20,968","986"
"9","$N_{2019}$","24,916","24,962","23,118","24,378","25,482","26,351","986"
"10","$N_{2030}$","27,629","27,483","25,358","26,584","28,503","30,787","986"
"11","Max depletion","0.016","0.013","0.007","0.01","0.019","0.039","986"
"12","Depletion in 2006","0.463","0.462","0.396","0.44","0.485","0.534","986"
"13","Depletion in 2008","0.536","0.536","0.45","0.51","0.562","0.616","986"
"14","Depletion in 2012","0.689","0.695","0.557","0.655","0.731","0.791","986"
"15","Depletion in 2019","0.89","0.908","0.73","0.865","0.935","0.963","986"
"16","Depletion in 2030","0.984","0.993","0.918","0.984","0.997","0.999","986"
