"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.065","0.067","0.007","0.041","0.091","0.114","3,301"
"2","$K$","58,177","36,561","21,876","29,242","52,706","244,952","3,301"
"3","$z$","2.39","2.39","2.39","2.39","2.39","2.39","    1"
"4","$Pmsy$","0.6","0.6","0.6","0.6","0.6","0.6","    1"
"5","$sigma^2$","0.025","0.022","0.01","0.016","0.03","0.06","3,301"
"6","$N_{min}$"," 1,457","   614","    91","   316"," 1,393","  9,057","3,301"
"7","$N_{2006}$","13,586","13,084"," 8,180","11,183","15,627"," 21,677","3,301"
"8","$N_{2008}$","14,730","14,715","12,716","13,951","15,427"," 17,059","3,301"
"9","$N_{2012}$","20,042","19,952","17,620","19,103","20,922"," 22,832","3,301"
"10","$N_{2019}$","27,174","26,029","13,921","21,471","31,489"," 45,552","3,301"
"11","$N_{2030}$","33,271","29,385","11,096","22,493","39,764"," 74,553","3,301"
"12","Max depletion","0.03","0.016","0.002","0.008","0.03","0.176","3,301"
"13","Depletion in 2006","0.355","0.342","0.053","0.239","0.46","0.761","3,301"
"14","Depletion in 2008","0.39","0.402","0.059","0.275","0.509","0.68","3,301"
"15","Depletion in 2012","0.53","0.547","0.083","0.373","0.688","0.937","3,301"
"16","Depletion in 2019","0.705","0.713","0.094","0.472","0.942","1.303","3,301"
"17","Depletion in 2030","0.807","0.82","0.097","0.579","1.054","1.48","3,301"
