"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.059","0.06","0.007","0.038","0.081","0.113","3,264"
"2","$K$","95,756","43,645","20,488","31,928","65,806","380,722","3,264"
"3","$z$","2.39","2.39","2.39","2.39","2.39","2.39","    1"
"4","$Pmsy$","0.6","0.6","0.6","0.6","0.6","0.6","    1"
"5","$sigma^2$","0.025","0.022","0.01","0.017","0.03","0.058","3,264"
"6","$N_{min}$","   758","   128","    25","    73","   324","  8,185","3,264"
"7","$N_{2006}$","13,935","13,425"," 8,379","11,469","15,752"," 22,671","3,264"
"8","$N_{2008}$","14,754","14,709","12,797","13,976","15,495"," 17,066","3,264"
"9","$N_{2012}$","20,011","19,939","17,526","19,106","20,831"," 22,844","3,264"
"10","$N_{2019}$","27,341","26,238","13,236","21,810","31,749"," 47,054","3,264"
"11","$N_{2030}$","34,941","31,533"," 9,876","23,805","41,841"," 82,052","3,264"
"12","Max depletion","0.015","0.003","0.001","0.002","0.005","0.183","3,264"
"13","Depletion in 2006","0.33","0.3","0.036","0.19","0.431","0.804","3,264"
"14","Depletion in 2008","0.351","0.335","0.038","0.221","0.469","0.733","3,264"
"15","Depletion in 2012","0.475","0.458","0.053","0.306","0.632","0.985","3,264"
"16","Depletion in 2019","0.635","0.63","0.059","0.379","0.882","1.263","3,264"
"17","Depletion in 2030","0.752","0.772","0.065","0.497","1","1.446","3,264"
