"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.04","0.036","0.019","0.036","0.039","0.077","191"
"2","$K$","46,459","30,292","25,908","30,292","38,879","118,203","191"
"3","$z$","2.39","2.39","2.39","2.39","2.39","2.39","  1"
"4","$Pmsy$","0.6","0.6","0.6","0.6","0.6","0.6","  1"
"5","$sigma^2$","0.017","0.017","0.008","0.017","0.017","0.028","191"
"6","$N_{min}$","   292","   341","    66","   153","   341","    649","191"
"7","$N_{2019}$"," 6,121"," 6,425"," 2,378"," 3,643"," 7,622","  8,944","191"
"8","$N_{2021}$"," 6,692"," 7,253"," 2,515"," 3,992"," 8,291"," 10,326","191"
"9","$N_{2030}$","11,300","13,072"," 3,018"," 5,636","13,072"," 16,926","191"
"10","Max depletion","0.007","0.005","0.001","0.004","0.011","0.011","191"
"11","Depletion in 2019","0.181","0.165","0.029","0.128","0.252","0.252","191"
"12","Depletion in 2021","0.199","0.187","0.027","0.154","0.274","0.274","191"
"13","Depletion in 2030","0.333","0.432","0.036","0.218","0.432","0.435","191"
