"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.077","0.093","0.004","0.059","0.102","0.109","426"
"2","$K$","509,854","22,073","17,198","19,471","36,044","3,717,754","426"
"3","$z$","4.404","4.171","2.461","3.077","5.254","7.791","426"
"4","$Pmsy$","0.674","0.674","0.604","0.633","0.705","0.757","426"
"5","$sigma^2$","0.03","0.025","0.011","0.02","0.036","0.062","426"
"6","$N_{min}$","    421","    74","    15","    39","   120","    4,882","424"
"7","$N_{2006}$"," 14,813","14,364"," 7,303","11,880","17,389","   22,124","426"
"8","$N_{2012}$"," 19,948","19,684","17,620","18,956","20,700","   23,014","426"
"9","$N_{2019}$"," 13,065","13,672"," 6,869"," 9,316","15,746","   19,021","426"
"10","$N_{2019}$"," 13,065","13,672"," 6,869"," 9,316","15,746","   19,021","426"
"11","$N_{2030}$"," 19,204","18,927"," 5,597","15,411","23,466","   31,536","426"
"12","Max depletion","0.005","0.002","0","0.002","0.004","0.041","426"
"13","Depletion in 2006","0.569","0.599","0.005","0.287","0.854","1.111","426"
"14","Depletion in 2012","0.751","0.899","0.006","0.547","1.005","1.212","426"
"15","Depletion in 2019","0.536","0.647","0.002","0.268","0.756","0.948","426"
"16","Depletion in 2019","0.536","0.647","0.002","0.268","0.756","0.948","426"
"17","Depletion in 2030","0.75","0.874","0.003","0.495","1.037","1.205","426"
