"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.038","0.036","0.003","0.022","0.05","0.101","639"
"2","$K$","241,509","63,089","24,834","53,581","100,173","769,854","639"
"3","$z$","4.261","3.909","2.452","3.256","5.02","6.983","639"
"4","$Pmsy$","0.67","0.666","0.603","0.641","0.699","0.743","639"
"5","$sigma^2$","0.037","0.033","0.019","0.031","0.04","0.074","639"
"6","$N_{min}$","    188","   134","    22","    90","    263","    644","638"
"7","$N_{2019}$","  2,827"," 2,970"," 1,455"," 1,906","  3,257","  5,692","639"
"8","$N_{2021}$","  2,993"," 2,834"," 1,119"," 1,916","  3,247","  7,849","639"
"9","$N_{2030}$","  5,368"," 4,354","   615"," 2,120","  6,565"," 18,413","639"
"10","Max depletion","0.003","0.002","0","0.001","0.003","0.008","639"
"11","Depletion in 2019","0.047","0.043","0.003","0.025","0.06","0.136","639"
"12","Depletion in 2021","0.051","0.043","0.003","0.021","0.06","0.157","639"
"13","Depletion in 2030","0.096","0.081","0.004","0.021","0.14","0.447","639"
