"","Year","B","A_xy","ln_A_xy_mu_sim","A_xy_mu_sim","ln_A_xy_var_sim","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"1","1999",0,1005.20733869,6.91410390321504,1020.92886059416,0.0287180028877898,0.0287180028877898,0.00155601884386673,0.00149885698200716,0.00100646441458746,0.00150738423918133,0.00137683910193373,0.00116146871602946,0.00205714417847409,0.00109981187439136,0.00115921956854921,0.00131741838796696,0.00181630858939011,0.00171030672213449,0.000507925148771918,0.000299725001130511,0.000314870828770911,-8.17960422592197e-05,0.000420955222357826,0.00114108936882685,0.000410839407249891
"2","2000",0.674191925121967,1972.66565508136,7.58781440684698,2011.53659116826,0.0376789222444841,0.00155601884386673,0.0376789222444841,0.00147345747881913,0.000751904441943406,0.00129802324951376,0.00115995758615445,0.0012007242175489,0.00181440511501057,0.000888548786884143,0.00103948153813548,0.00115553690764937,0.00140367104126299,0.00130135302723803,4.89282000720794e-06,0.000415865332464432,0.00054463152996046,1.38306239750789e-05,5.45223046699203e-05,0.00114734487926655,0.000132844252271445
"3","2005",0.16945899927932,1190.8327194737,7.08325994821677,1211.42755870195,0.0325721744337327,0.00149885698200716,0.00147345747881913,0.0325721744337327,0.000672533726057255,0.00117743900202294,0.000986857568091529,0.000940711308004935,0.00155462818487857,0.000803591179991732,0.000954032863099938,0.00106190254356604,0.00113450455903267,0.0013371866457572,0.000235880557354257,0.000155412354150519,0.00012862253447391,-0.000230773028391227,0.0003290362352783,0.000980245617665871,0.000198172952690127
"4","2006",0.386546537185217,1479.55351701871,7.300875088128,1510.3474304752,0.0384174091569553,0.00100646441458746,0.000751904441943406,0.000672533726057255,0.0384174091569553,0.000695303466608721,0.000750211290189585,0.000750731913149255,0.00102717017308061,0.000687901861172144,0.000957127401049574,0.000668085066702709,0.00117075932873524,0.00100072496284619,-2.2671796737695e-05,0.000187814626487788,0.000616691529316395,0.000147398066667003,-0.000298876149544766,0.00035740919471278,0.000195324369325987
"5","2007",0.818388431953301,2278.6479423812,7.73231609610762,2315.7465233602,0.0303394398905807,0.00150738423918133,0.00129802324951376,0.00117743900202294,0.000695303466608721,0.0303394398905807,0.00131806314915988,0.00115107031206383,0.00182741057256487,0.000831243471087067,0.00133064953551871,0.00113079923139772,0.00161624989534797,0.00147030769578323,6.55405788539259e-05,0.000378781561698907,0.000461012506198167,6.27509988903039e-06,-5.89302474677257e-05,0.000920752426540564,0.000162383384804172
"6","2008",0.67945347101251,1983.07227941005,7.59330020270891,2016.91108636741,0.032025258152047,0.00137683910193373,0.00115995758615445,0.000986857568091529,0.000750211290189585,0.00131806314915988,0.032025258152047,0.000862580684792795,0.00151178522886915,0.00074394293241698,0.000972845738733954,0.00108260577800211,0.0016376517846475,0.00147102218344093,0.000144096648574044,0.000246026565295402,0.000376092353752824,7.66924621191584e-05,0.000214855316271868,0.000900461627120707,5.7855124037148e-05
"7","2009",0.352053829956506,1429.38982490898,7.26573273513808,1471.56758142948,0.0566970246585155,0.00116146871602946,0.0012007242175489,0.000940711308004935,0.000750731913149255,0.00115107031206383,0.000862580684792795,0.0566970246585155,0.0017750008579676,0.00126888561190586,0.00232435177044787,0.00126874940868114,0.00183218504958006,0.00114953993700271,-0.000347268783856918,8.22114154019083e-05,0.00158101157364311,2.78623171809947e-05,-0.000542861460543943,8.42748073090627e-06,0.000305651108089754
"8","2010",0.499185382537685,1655.95719951335,7.41319080312736,1742.37402772689,0.0996300726022672,0.00205714417847409,0.00181440511501057,0.00155462818487857,0.00102717017308061,0.00182741057256487,0.00151178522886915,0.0017750008579676,0.0996300726022672,0.00136218552740137,0.00224332601247783,0.00169806195977428,0.00238371242557436,0.00206936749240355,0.000561942120352297,0.00109256333535733,0.000732245384984752,-0.000106054757092021,0.000195918722256824,0.00115406668981962,0.000633628879469125
"9","2011",0.29247773589602,1346.71940313621,7.20711219730686,1385.28049058899,0.0530549831299286,0.00109981187439136,0.000888548786884143,0.000803591179991732,0.000687901861172144,0.000831243471087067,0.00074394293241698,0.00126888561190586,0.00136218552740137,0.0530549831299286,0.00166663626094918,0.000974642473691023,0.00150214325703592,0.000936995332079249,-0.000170210478773483,4.48436823439644e-05,0.000795050352829963,-0.000152371960169978,-0.000243510184071386,0.000689483358106676,0.000326337075418954
"10","2012",0.601538188891304,1834.42671587631,7.51671775142513,1911.3545215705,0.0777236261907327,0.00115921956854921,0.00103948153813548,0.000954032863099938,0.000957127401049574,0.00133064953551871,0.000972845738733954,0.00232435177044787,0.00224332601247783,0.00166663626094918,0.0777236261907327,0.001280548696143,0.00203185923646989,0.00120006990402741,-0.000876944966774584,7.35156580296351e-05,0.00161410116708142,-5.07283223582448e-05,-0.000183682340375353,0.000123423195956741,0.000373358301993138
"11","2013",0.802569783138742,2242.88640611358,7.71711854206893,2289.51471643579,0.0379299266659275,0.00131741838796696,0.00115553690764937,0.00106190254356604,0.000668085066702709,0.00113079923139772,0.00108260577800211,0.00126874940868114,0.00169806195977428,0.000974642473691023,0.001280548696143,0.0379299266659275,0.00129660919458512,0.00138685460857559,0.000226358665659857,0.000200985335828805,0.000490658224515844,-7.36817995941011e-05,0.000245689387795582,0.00107011842703932,0.000340777625578997
"12","2014",0.428764662148627,1543.35480141209,7.3430287594286,1595.13743006193,0.0634094730103364,0.00181630858939011,0.00140367104126299,0.00113450455903267,0.00117075932873524,0.00161624989534797,0.0016376517846475,0.00183218504958006,0.00238371242557436,0.00150214325703592,0.00203185923646989,0.00129660919458512,0.0634094730103364,0.00163794340002073,0.000104478071278032,0.000142295842381935,0.0012914150672528,-3.12828710787155e-05,4.77378697100596e-05,0.000748969888206532,0.000395052362247657
"13","2015",0.236798154089562,1273.78397890839,7.14966460979901,1296.59889414753,0.0356694841490737,0.00171030672213449,0.00130135302723803,0.0013371866457572,0.00100072496284619,0.00147030769578323,0.00147102218344093,0.00114953993700271,0.00206936749240355,0.000936995332079249,0.00120006990402741,0.00138685460857559,0.00163794340002073,0.0356694841490737,0.000397342733537407,0.000225754043413938,0.000311380064312827,-9.7928146726866e-05,0.000323887508066185,0.00117454587076974,0.00034902873842827
"14","2016",-0.0616675916451464,945.091279340605,6.85184326622409,968.436662255817,0.0477502033778587,0.000507925148771918,4.89282000720794e-06,0.000235880557354257,-2.2671796737695e-05,6.55405788539259e-05,0.000144096648574044,-0.000347268783856918,0.000561942120352297,-0.000170210478773483,-0.000876944966774584,0.000226358665659857,0.000104478071278032,0.000397342733537407,0.0477502033778587,1.35938861472859e-05,-0.00025514425298416,3.4271017113275e-05,0.00029998085805898,0.000502565264676966,0.000296285966098393
"15","2017",0.422011647877543,1532.96761629153,7.33518134515905,1569.86332141843,0.0471093190677312,0.000299725001130511,0.000415865332464432,0.000155412354150519,0.000187814626487788,0.000378781561698907,0.000246026565295402,8.22114154019083e-05,0.00109256333535733,4.48436823439644e-05,7.35156580296351e-05,0.000200985335828805,0.000142295842381935,0.000225754043413938,1.35938861472859e-05,0.0471093190677312,0.000312530659243315,-0.000280587884608258,0.000268995089338302,0.000398653136970818,-3.0059270591405e-05
"16","2018",0.738463234923951,2103.61451400188,7.65139250454309,2156.22727401647,0.0493869487371668,0.000314870828770911,0.00054463152996046,0.00012862253447391,0.000616691529316395,0.000461012506198167,0.000376092353752824,0.00158101157364311,0.000732245384984752,0.000795050352829963,0.00161410116708142,0.000490658224515844,0.0012914150672528,0.000311380064312827,-0.00025514425298416,0.000312530659243315,0.0493869487371668,5.41921128106326e-05,-0.00043552494324102,-4.55265346655075e-05,0.000285305253552997
