"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.052","0.051","0.023","0.039","0.063","0.085","5,154"
"2","$K$","36,826","35,582","23,100","30,139","42,042","57,463","5,154"
"3","$z$","4.129","3.264","1.081","1.861","5.908","10.405","5,154"
"4","$Pmsy$","0.645","0.641","0.508","0.568","0.721","0.791","5,154"
"5","$sigma^2$","4e-04","4e-04","1e-04","2e-04","5e-04","6e-04","5,154"
"6","$N_{min}$","   276","   218","    84","   144","   334","   826","5,154"
"7","$N_{2019}$"," 6,562"," 6,508"," 4,762"," 5,748"," 7,288"," 8,710","5,154"
"8","$N_{2021}$"," 7,265"," 7,191"," 5,044"," 6,200"," 8,190","10,086","5,154"
"9","$N_{2030}$","11,383","11,035"," 6,169"," 8,727","13,644","18,529","5,154"
"10","Max depletion","0.007","0.006","0.003","0.005","0.008","0.016","5,154"
"11","Depletion in 2019","0.193","0.182","0.092","0.139","0.234","0.352","5,154"
"12","Depletion in 2021","0.214","0.202","0.097","0.151","0.263","0.405","5,154"
"13","Depletion in 2030","0.342","0.311","0.118","0.213","0.436","0.754","5,154"
