"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.011","0.011","0.001","0.006","0.016","0.028","19,980"
"2","$K$","65,208","62,772","40,441","52,938","74,448","105,072","19,980"
"3","$z$","4.259","3.475","1.071","1.95","6.055","10.492","19,980"
"4","$Pmsy$","0.649","0.65","0.507","0.574","0.724","0.792","19,980"
"5","$sigma$","0.019","0.02","0.009","0.015","0.023","0.025","19,979"
"6","$N_{min}$"," 2,185"," 2,149","   516"," 1,274"," 3,062","  4,022","19,980"
"7","$N_{2019}$"," 4,597"," 4,572"," 3,825"," 4,299"," 4,868","  5,516","19,980"
"8","$N_{2021}$"," 4,708"," 4,670"," 3,833"," 4,359"," 5,018","  5,790","19,980"
"9","$N_{2030}$"," 5,250"," 5,138"," 3,865"," 4,607"," 5,767","  7,293","19,980"
"10","Max depletion","0.033","0.032","0.011","0.022","0.042","0.062","19,980"
"11","Depletion in 2019","0.075","0.073","0.04","0.06","0.089","0.124","19,980"
"12","Depletion in 2021","0.077","0.074","0.04","0.06","0.091","0.13","19,980"
"13","Depletion in 2030","0.087","0.082","0.041","0.064","0.105","0.163","19,980"
"14","$q_{flt1}$","0.362","0.361","0.32","0.346","0.377","0.409","19,980"
"15","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"16","$sigma_q$","0","0","0","0","0","0","     1"
"17","$p(q)_{flt1}$","0.379","0.358","0.185","0.28","0.462","0.667",NA
