"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.056","0.057","0.003","0.028","0.084","0.107","19,002"
"2","$K$","58,671","55,426","27,868","41,570","72,076","108,533","19,002"
"3","$z$","2.32","1.99","0.06","0.82","3.651","5.757","19,002"
"4","$Pmsy$","0.717","0.719","0.627","0.675","0.761","0.796","19,002"
"5","$P_{50}$","0.085","0.079","0.004","0.039","0.127","0.19","19,001"
"6","$sigma$","0.019","0.019","0.009","0.015","0.023","0.025","19,002"
"7","$N_{min}$"," 3,593"," 3,649"," 2,481"," 3,324"," 3,921","  4,367","19,002"
"8","$N_{2019}$"," 4,271"," 4,255"," 3,599"," 4,020"," 4,503","  5,050","19,002"
"9","$N_{2021}$"," 4,280"," 4,255"," 3,554"," 4,004"," 4,531","  5,142","19,002"
"10","$N_{2030}$"," 4,339"," 4,279"," 3,347"," 3,939"," 4,660","  5,725","19,002"
"11","Max depletion","0.069","0.065","0.033","0.051","0.083","0.121","19,002"
"12","Depletion in 2019","0.084","0.076","0.038","0.058","0.104","0.164","19,002"
"13","Depletion in 2021","0.084","0.076","0.038","0.058","0.104","0.167","19,002"
"14","Depletion in 2030","0.086","0.076","0.037","0.057","0.106","0.188","19,002"
"15","$q_{flt1}$","0.362","0.361","0.32","0.346","0.377","0.409","19,002"
"16","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"17","$sigma_q$","0","0","0","0","0","0","     1"
"18","$p(q)_{flt1}$","0.38","0.36","0.187","0.281","0.461","0.667",NA
