"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.018","0.016","0.001","0.008","0.025","0.047","13,553"
"2","$K$","67,820","58,204","31,601","45,791","76,730","161,631","13,553"
"3","$z$","4.345","3.521","1.059","1.938","6.404","10.451","13,553"
"4","$Pmsy$","0.651","0.652","0.506","0.573","0.732","0.792","13,553"
"5","$sigma^2$","0.0037","0.004","2e-04","0.0022","0.0054","0.0064","13,553"
"6","$N_{min}$"," 1,345"," 1,110","   167","   541"," 1,986","  3,482","13,553"
"7","$N_{2019}$"," 4,290"," 4,265"," 3,167"," 3,846"," 4,689","  5,588","13,529"
"8","$N_{2021}$"," 4,482"," 4,435"," 3,085"," 3,969"," 4,942","  6,168","13,553"
"9","$N_{2030}$"," 5,400"," 5,151"," 2,966"," 4,301"," 6,181","  9,449","13,553"
"10","Max depletion","0.021","0.017","0.004","0.01","0.028","0.058","13,553"
"11","Depletion in 2019","0.076","0.073","0.024","0.054","0.095","0.148","13,529"
"12","Depletion in 2021","0.08","0.075","0.024","0.055","0.102","0.163","13,553"
"13","Depletion in 2030","0.099","0.087","0.025","0.059","0.123","0.251","13,553"
"14","$q_{flt1}$","0.38","0.377","0.318","0.355","0.402","0.454","13,553"
"15","$eta_{q_{flt1}}$","0","0","0","0","0","0","   168"
"16","$sigma_q$","0.004","0","0","0","0","0","   184"
