"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.024","0.015","0.001","0.008","0.029","0.097","18,128"
"2","$K$","62,345","59,805","33,298","49,192","73,001","104,919","18,330"
"3","$z$","3.684","2.927","0.3","1.558","5.196","10.229","18,326"
"4","$Pmsy$","0.659","0.667","0.509","0.585","0.735","0.793","18,184"
"5","$sigma$","0.0186745415940014","0.0194531668535269","0.00911867915195384","0.0150758637354341","0.0227708976069463","0.025269105025686","18,128"
"6","$N_{min}$"," 2,598"," 2,753","   592"," 1,756"," 3,481","  4,177","18,330"
"7","$N_{2019}$"," 4,518"," 4,488"," 3,734"," 4,217"," 4,793","  5,461","18,330"
"8","$N_{2021}$"," 4,607"," 4,568"," 3,711"," 4,245"," 4,915","  5,741","18,330"
"9","$N_{2030}$"," 5,046"," 4,916"," 3,621"," 4,393"," 5,561","  7,198","18,330"
"10","Max depletion","0.044","0.041","0.012","0.029","0.054","0.095","18,330"
"11","Depletion in 2019","0.079","0.075","0.04","0.06","0.094","0.144","18,330"
"12","Depletion in 2021","0.081","0.077","0.04","0.061","0.096","0.149","18,330"
"13","Depletion in 2030","0.09","0.083","0.04","0.063","0.108","0.181","18,330"
"14","$q_{flt1}$","0.362","0.362","0.319","0.347","0.377","0.409","18,330"
"15","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"16","$sigma_q$","0","0","0","0","0","0","     1"
"17","$p(q)_{flt1}$","0.379","0.359","0.186","0.28","0.462","0.668",NA
