"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.011","0.01","0.001","0.006","0.016","0.027","18,739"
"2","$K$","65,219","62,711","40,336","53,069","74,676","104,121","18,739"
"3","$z$","4.281","3.462","1.075","1.944","6.119","10.492","18,739"
"4","$Pmsy$","0.65","0.649","0.507","0.574","0.726","0.792","18,739"
"5","$sigma$","0.0187","0.0195","0.0091","0.0152","0.0228","0.0252","18,739"
"6","$N_{min}$"," 2,193"," 2,166","   505"," 1,290"," 3,071","  4,015","18,739"
"7","$N_{2019}$"," 4,591"," 4,565"," 3,822"," 4,289"," 4,866","  5,499","18,739"
"8","$N_{2021}$"," 4,700"," 4,662"," 3,836"," 4,353"," 5,008","  5,776","18,739"
"9","$N_{2030}$"," 5,237"," 5,115"," 3,864"," 4,601"," 5,740","  7,274","18,739"
"10","Max depletion","0.033","0.032","0.011","0.022","0.042","0.063","18,739"
"11","Depletion in 2019","0.075","0.073","0.041","0.059","0.089","0.125","18,739"
"12","Depletion in 2021","0.077","0.074","0.041","0.06","0.091","0.133","18,739"
"13","Depletion in 2030","0.087","0.082","0.041","0.064","0.104","0.165","18,739"
"14","$q_{flt1}$","0.363","0.362","0.32","0.347","0.377","0.409","18,739"
"15","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"16","$sigma_q$","0.462","0.448","0.274","0.378","0.529","0.734","18,739"
"17","$p(q)_{flt1}$","0.26","0.255","0.176","0.224","0.29","0.371","    NA"
