,Parameter,Mean,Median,2.5% CI,25% CI,75% CI,97.5% CI,Unique
1,$r_{max}$,0.027,0.026,0.02,0.023,0.029,0.038,"19,496"
2,$K$,"48,961","47,787","34,149","42,003","54,824","69,502","19,498"
3,$z$,4.097,3.26,1.056,1.78,5.832,10.467,"19,497"
4,$Pmsy$,0.643,0.641,0.505,0.563,0.719,0.792,"19,497"
5,$sigma^2$,0.0004,0.0004,0.0001,0.0003,0.0006,0.0006,"19,498"
6,$N_{min}$,645,628,254,474,796,"1,125","19,498"
7,$N_{2019}$,"5,080","5,063","4,252","4,772","5,368","6,001","19,498"
8,$N_{2021}$,"5,353","5,329","4,418","4,995","5,674","6,427","19,498"
9,$N_{2030}$,"6,781","6,679","5,220","6,138","7,322","8,877","19,498"
10,Max depletion,0.013,0.013,0.006,0.01,0.015,0.021,"19,498"
11,Depletion in 2019,0.108,0.105,0.069,0.091,0.122,0.159,"19,498"
12,Depletion in 2021,0.114,0.111,0.071,0.095,0.129,0.17,"19,498"
13,Depletion in 2030,0.144,0.139,0.086,0.117,0.165,0.233,"19,498"
14,$q_{flt1}$,0.362,0.361,0.319,0.346,0.377,0.408,"19,498"
15,$eta_{q_{flt1}}$,0,0,0,0,0,0,1
16,$sigma_q$,0,0,0,0,0,0,1
