"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.011","0.01","0.001","0.005","0.015","0.027","18,661"
"2","$K$","65,964","63,401","41,204","53,476","75,552","106,075","18,661"
"3","$z$","4.235","3.457","1.07","1.943","6.03","10.503","18,661"
"4","$Pmsy$","0.649","0.649","0.507","0.574","0.724","0.792","18,661"
"5","$sigma$","0.0187892348140003","0.0195815800595895","0.00908553471843481","0.0152533416264512","0.0228654421189032","0.0252671275401204","18,661"
"6","$N_{min}$"," 2,254"," 2,250","   542"," 1,363"," 3,128","  4,038","18,661"
"7","$N_{2004}$"," 3,999"," 3,989"," 3,400"," 3,783"," 4,205","  4,640","18,661"
"8","$N_{2021}$"," 4,676"," 4,640"," 3,813"," 4,337"," 4,977","  5,752","18,661"
"9","$N_{2030}$"," 5,187"," 5,077"," 3,829"," 4,577"," 5,682","  7,185","18,661"
"10","Max depletion","0.034","0.033","0.011","0.023","0.043","0.063","18,661"
"11","Depletion in 2004","0.064","0.063","0.038","0.053","0.074","0.096","18,661"
"12","Depletion in 2021","0.076","0.073","0.04","0.059","0.09","0.128","18,661"
"13","Depletion in 2030","0.085","0.08","0.041","0.063","0.102","0.159","18,661"
"14","$q_{flt1}$","0.362","0.361","0.32","0.346","0.377","0.409","18,661"
"15","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"16","$sigma_q$","0","0","0","0","0","0","     1"
"17","$p(q)_{flt1}$","0.379","0.358","0.185","0.28","0.462","0.667",NA
